Country code;Company Name;COUS ID;No. of profiles
AE;SCHENKER MIDDLE EAST FZE;AEDXBLE0004;20
AE;SCHENKER (L.L.C);AEDXBBR0004;163
AE;Schenker Logistics L.L.C.;AEAUHLE0002;71
AE;Dubai (RHO NME/Africa);AEDXBMR0001;27
AO;SCHENKER ANGOLA LIMITADA;AOLADLE0001;25
AR;SCHENKER ARGENTINA S.A.;ARBUELE0001;218
AT;SCHENKER & CO. AG;ATVIERC0001;1705
AU;SCHENKER AUSTRALIA PTY. LTD.;AUSYDBR0003;1144
BA;SCHENKER D.O.O.;BASJJBR0001;35
BE;SCHENKER N.V.;BEANRLE0001;498
BG;SCHENKER EOOD;BGSOFBR0001;207
BR;SCHENKER DO BRASIL TRANSPORTES INTERNACIONAIS LTDA.;BRSAOBR0005;589
BY;DB Schenker FLLC;BYMSQBR0002;73
CA;SCHENKER OF CANADA LTD.;CATORLE0001;752
CH;SCHENKER SCHWEIZ AG;CHZRHBR0003;501
CH;HANGARTNER TERMINAL AG;CHAARBR0002;1
CL;SCHENKER CHILE S.A.;CLSCLBR0003;51
CN;Schenker Jinbei Logistics (Shenyang) Co. Ltd.;CNSHYLE0001;2
CN;SCHENKER LOGISTICS (XIAMEN) CO. LTD.;CNXMNBR0004;57
CN;SCHENKER BITCC LOGISTICS (BEIJING) CO., LTD.;CNBJSBR0002;107
CN;SCHENKER CHINA LTD.;CNSHARI0001;2650
CN;SCHENKER LOGISTICS (SUZHOU) COMPANY LTD.;CNSZHBR0003;74
CN;SCHENKER BITCC CUSTOMS BROKER (BEIJING) CO. LTD.;CNBJSBR0006;8
CN;SCHENKER LOGISTICS (KUNSHAN) CO., LTD.;CNKUSLE0001;1
CN;Schenker Logistics (Chengdu) Co., Ltd.;CNCTULELOO0001;82
CN;Schenker Logistics (Chongqing) Co. Ltd;CNCKGLELOO0001;25
CN;SCHENKER LOGISTICS (GUANGZHOU) COMPANY LTD.;CNCANBR0003;25
CN;SCHENKER LOGISTICS (SHENZHEN) CO. LTD.;CNSZXBR0004;92
CN;SCHENKER SHARED SERVICES (NANJING) CO. LTD.;CNNKGLEITO0001;262
CN;BAX GLOBAL LOGISTICS (SHANGHAI) CO. LTD.;CNSHABR0007;26
CN;SCHENKER LOGISTICS (SHANGHAI) CO., LTD.;CNSHABR0002;221
CZ;SCHENKER SPOL. S.R.O.;CZPRGBR0001;699
DE;SCHENKER AKTIENGESELLSCHAFT;DEESSHO0001;797
DE;KARPELES FLIGHT SERVICES GMBH;DEFRALEA0001;27
DE;EVAG EMDER VERKEHRS UND AUTOMOTIVE GESELLSCHAFT MBH;DEEMELE0006;12
DE;TRANSA SPEDITION GMBH;DEOFFLEADO0001;42
DE;SCHENKER DIRECT PRODUCTION GMBH;DELBCLE0002;67
DE;Schenker Dedicated Services Germany GmbH;DEESSLELOO0001;17
DE;SCHENKER DEUTSCHLAND AG;DEKEBLE0004;10065
DK;SCHENKER A/S;DKPAOBR0003;8
DK;SCHENKER A/S;DKCPHBR0002;295
EE;AS SCHENKER;EETLLBR0001;135
EG;SCHENKER EGYPT LTD.;EGCAILE0002;129
ES;DEUTSCHE BAHN IBERICA HOLDING S.L.;ESBCNBR0004;28
ES;SCHENKER LOGISTICS S.A.;ESBCNLE0006;358
FI;SCHENKER OY;FIHELBRL0001;1524
FI;RENGASLINJA OY;FIHELBR0013;83
FI;OY SCHENKER EAST AB;FIHELBR0003;12
FR;AIR TERMINAL HANDLING S.A.;FRPARLEA0001;1
FR;ASIMEX ANTERIST + SCHNEIDER IMPORT - EXPORT SAS;FRSGWBR0001;10
FR;SCHENKER FRANCE SAS;FRMNUBR0004;1918
GB;SCHENKER LTD.;GBLONLE0001;592
GH;CONSOLIDATED SHIPPING SERVICES AGENCIES;GHTEMBR0001;1
GR;SCHENKER A.E.;GRATHBR0002;82
GT;SCHENKER S.A.;GTGUABR0001;41
HK;SCHENKEROCEAN LTD.;HKHKGBR0003;78
HK;KARPELES FLIGHT SERVICES (H.K.) LIMITED;HKHKGBR0009;2
HK;SCHENKER INTERNATIONAL (HK) LTD.;HKHKGLE0008;370
HK;INTERTEC ASIA LIMITED;HKHKGLE0007;8
HR;SCHENKER D.O.O.;HRZAGBR0004;79
HU;Budapest Rail (Masped-Railog);HUBUDBR0002;2
HU;SCHENKER KFT.;HUBUDLE0001;94
ID;PT. SCHENKER PETROLOG UTAMA;IDJKTLE0002;381
IE;SCHENKER (IRELAND) LTD.;IEDUBBR0002;130
IN;SCHENKER INDIA PVT LTD.;INDELLE0001;1061
IT;HANGARTNER TERMINAL S.R.L.;ITVRNBR0003;21
IT;SCHENKER ITALIANA S.P.A.;ITMILBR0004;1209
JP;SCHENKER-SEINO CO. LTD.;JPTYOBR0005;677
KE;SCHENKER LTD.;KENBOBR0002;113
KH;DB SCHENKER (CAMBODIA) LIMITED;KHPNHLE0002;37
KR;SCHENKER KOREA LTD.;KRICNBR0002;482
LA;Schenker (Lao) Sole Co., Ltd.;LAVTELE0001;3
